"Employee ID";"First Name";"Last Name";"StartDate";"ExitDate";"Supervisor";"EmployeeType";"Termination";"Department";"State";"Job Role";"Gender";"Race";"Marital status";"Performance Score";"Current Employee Rating";"rownum";"attrition flag"
1001;"Susan";"Exantus";"2019-08-29";"";"Angela Carlson";"Part-Time";"Unk";"Software Engineering";"MA";"Engineer";"Female";"Black";"Married";"Fully Meets";3;1;0
1002;"Sandra";"Martin";"2022-12-12";"2023-05-28";"Angela Hayes";"Part-Time";"Involuntary";"Software Engineering";"MA";"Foreman";"Female";"Asian";"Widowed";"Fully Meets";3;1;1
1003;"Keyla";"Del Bosque";"2023-03-08";"2023-03-15";"Christina Copeland";"Contract";"Voluntary";"Software Engineering";"MA";"Foreman";"Female";"White";"Married";"Fully Meets";3;1;1
1004;"Andrew";"Szabo";"2020-05-29";"2021-03-05";"Jennifer Cohen";"Part-Time";"Involuntary";"Software Engineering";"MA";"Coordinator";"Male";"Black";"Single";"Fully Meets";3;1;1
1005;"Luke";"Patronick";"2022-09-16";"";"Mr. Jesus Richards";"Full-Time";"Unk";"Software Engineering";"MA";"Project Manager";"Male";"Black";"Divorced";"Fully Meets";3;1;0
1006;"Colby";"Andreola";"2021-08-15";"2021-11-20";"Beth Johnson";"Full-Time";"Resignation";"Software Engineering";"MA";"Administrative";"Female";"White";"Widowed";"Fully Meets";3;1;1
1007;"Edward";"TRUE";"2020-10-25";"2021-09-26";"Raymond Adams";"Part-Time";"Involuntary";"Software Engineering";"MA";"Lineman";"Male";"Black";"Widowed";"Fully Meets";3;1;1
1008;"Judith";"Carabbio";"2019-08-28";"2020-05-04";"Jessica Rhodes";"Contract";"Voluntary";"Software Engineering";"MA";"Foreman";"Female";"Hispanic";"Married";"Fully Meets";3;1;1
1009;"Adell";"Saada";"2019-06-13";"2023-01-12";"Steven Tran";"Part-Time";"Retirement";"Software Engineering";"MA";"Model Assistant";"Female";"Other";"Single";"Fully Meets";3;1;1
1010;"Kamari";"Hunter";"2021-01-12";"2022-03-18";"Kristen Collier";"Part-Time";"Voluntary";"Software Engineering";"MA";"Supervisor";"Male";"Hispanic";"Divorced";"Fully Meets";3;1;1
1011;"Sarah";"Malone";"2022-02-07";"2023-02-12";"David Lopez";"Contract";"Resignation";"Software Engineering";"MA";"Foreman";"Male";"Hispanic";"Married";"Fully Meets";3;1;1
1012;"Skyler";"Blackwell";"2020-11-09";"2021-06-06";"Candice Schmidt";"Contract";"Involuntary";"Software Engineering";"MA";"Administrative";"Male";"White";"Single";"Fully Meets";3;1;1
1013;"Jasmin";"Shah";"2020-05-13";"";"Christy Craig";"Part-Time";"Unk";"Software Engineering";"MA";"Engineer";"Male";"Asian";"Single";"Fully Meets";3;1;0
1014;"Kole";"Quinn";"2022-12-31";"2023-07-13";"Jermaine Weaver";"Part-Time";"Retirement";"Software Engineering";"MA";"Clerk";"Male";"Other";"Single";"Fully Meets";3;1;1
1015;"Ansley";"Jackson";"2018-12-03";"";"James Barajas";"Contract";"Unk";"Software Engineering";"MA";"Vp";"Female";"White";"Married";"Fully Meets";3;1;0
1016;"Jayda";"Reese";"2020-02-21";"2021-05-29";"Tyler Davis";"Part-Time";"Involuntary";"Admin Offices";"MA";"Mechanic";"Female";"White";"Single";"Fully Meets";3;1;1
1017;"Julien";"Whitehead";"2020-09-07";"2021-12-15";"Joshua Gonzalez";"Full-Time";"Involuntary";"Admin Offices";"MA";"Laborer";"Female";"Black";"Single";"Fully Meets";3;1;1
1018;"Alan";"Haynes";"2020-06-19";"2021-12-08";"Justin Sherman";"Part-Time";"Involuntary";"Admin Offices";"MA";"Laborer";"Female";"White";"Married";"Fully Meets";3;1;1
1019;"Kamryn";"Herrera";"2022-10-14";"2023-07-28";"Sara Holland";"Full-Time";"Retirement";"Software Engineering";"MA";"Engineer";"Male";"Hispanic";"Widowed";"Fully Meets";3;1;1
1020;"Kelvin";"Foster";"2023-06-20";"2023-07-18";"Shelia Graham";"Contract";"Resignation";"Software Engineering";"MA";"Supervisor";"Female";"Black";"Widowed";"Fully Meets";3;1;1
1021;"Joe";"Fletcher";"2020-11-09";"2023-07-17";"Amanda Hayden";"Full-Time";"Resignation";"Software Engineering";"MA";"Billing";"Male";"Hispanic";"Single";"Fully Meets";3;1;1
1022;"Frederick";"Howe";"2022-09-19";"";"Nicole Haynes";"Part-Time";"Unk";"Software Engineering";"MA";"Engineer";"Male";"Black";"Divorced";"Fully Meets";3;1;0
1023;"Nickolas";"Davila";"2018-11-09";"2021-10-10";"Debra Morales";"Contract";"Voluntary";"Software Engineering";"MA";"Clerk";"Male";"Hispanic";"Divorced";"Fully Meets";3;1;1
1024;"Kasey";"Boyer";"2018-12-30";"2021-06-23";"Chad Andrews";"Contract";"Involuntary";"Software Engineering";"MA";"Coordinator";"Female";"Other";"Divorced";"Fully Meets";3;1;1
1025;"Giovanni";"Jenkins";"2023-05-11";"2023-05-15";"John Wallace";"Full-Time";"Retirement";"Admin Offices";"MA";"Foreman";"Female";"Other";"Divorced";"Fully Meets";3;1;1
1026;"Alexis";"Moss";"2022-11-03";"2023-02-09";"Benjamin Frederick";"Contract";"Resignation";"Admin Offices";"MA";"Engineer";"Female";"Other";"Widowed";"Fully Meets";3;1;1
1027;"Joanna";"Murphy";"2020-06-14";"2021-05-29";"Michael Ramos";"Part-Time";"Voluntary";"Admin Offices";"MA";"Flagger";"Male";"Other";"Single";"Fully Meets";3;1;1
1028;"Joseph";"Schmidt";"2019-10-15";"2023-01-01";"Donna Boone";"Full-Time";"Resignation";"Software Engineering";"MA";"Model Assistant";"Male";"Asian";"Single";"Fully Meets";3;1;1
1029;"Brittany";"Hurley";"2020-04-28";"";"Jeffrey Johnston";"Part-Time";"Unk";"Software Engineering";"MA";"Specialist";"Female";"Asian";"Divorced";"Fully Meets";3;1;0
1030;"Niko";"Hamilton";"2019-10-29";"";"Sarah King";"Contract";"Unk";"Software Engineering";"MA";"Foreman";"Male";"Black";"Single";"Fully Meets";3;1;0
1031;"Ruben";"Martinez";"2021-04-28";"";"Cynthia Delgado";"Part-Time";"Unk";"Software Engineering";"MA";"Lineman";"Male";"White";"Widowed";"Fully Meets";3;1;0
1032;"Kiley";"Haynes";"2022-04-19";"2022-08-26";"Dominique Bailey";"Full-Time";"Voluntary";"Software Engineering";"MA";"Laborer";"Male";"Asian";"Widowed";"Fully Meets";3;1;1
1033;"Blaine";"Brooks";"2023-03-28";"";"Teresa Meyer";"Contract";"Unk";"Software Engineering";"MA";"Operator";"Male";"Other";"Single";"Fully Meets";3;1;0
1034;"Dennis";"Livingston";"2019-05-06";"";"Sarah Carey";"Full-Time";"Unk";"Software Engineering";"MA";"Manager";"Female";"Black";"Single";"Fully Meets";3;1;0
1035;"Case";"Russell";"2020-10-13";"";"Taylor Wright";"Full-Time";"Unk";"Admin Offices";"MA";"Laborer";"Female";"Asian";"Divorced";"Fully Meets";3;1;0
1036;"Kody";"Jimenez";"2021-07-06";"2021-11-25";"Daniel Moore";"Part-Time";"Resignation";"Admin Offices";"MA";"Foreman";"Male";"Asian";"Single";"Fully Meets";3;1;1
1037;"Zoe";"Colon";"2020-09-24";"2020-11-02";"Stacey Vargas";"Part-Time";"Voluntary";"Software Engineering";"MA";"Engineer";"Male";"Other";"Widowed";"Fully Meets";3;1;1
1038;"Courtney";"Cowan";"2023-01-18";"";"Beth Anderson";"Contract";"Unk";"Software Engineering";"MA";"Crew Leader";"Male";"Hispanic";"Married";"Fully Meets";3;1;0
1039;"Nolan";"Perez";"2019-08-22";"2022-03-25";"Joshua Daniels";"Part-Time";"Involuntary";"Software Engineering";"MA";"Administrative";"Female";"Other";"Widowed";"Fully Meets";3;1;1
1040;"Katrina";"Farrell";"2019-07-25";"2022-12-17";"Mark Mays";"Contract";"Retirement";"Software Engineering";"MA";"Technician";"Male";"White";"Divorced";"Fully Meets";3;1;1
1041;"Camden";"Kelly";"2019-11-11";"2020-01-10";"Brandon Ortiz";"Full-Time";"Retirement";"Software Engineering";"MA";"Administrative";"Male";"White";"Single";"Fully Meets";3;1;1
1042;"Milo";"Hood";"2022-07-16";"";"Cheryl Swanson";"Contract";"Unk";"Software Engineering";"MA";"Driller";"Male";"Black";"Widowed";"Fully Meets";3;1;0
1043;"Kale";"Lang";"2022-12-19";"2023-05-10";"Matthew Patel";"Full-Time";"Resignation";"Software Engineering";"MA";"Billing";"Female";"White";"Married";"Fully Meets";3;1;1
1044;"Shyanne";"Stark";"2020-09-15";"";"Jennifer Adams";"Contract";"Unk";"Software Engineering";"MA";"Foreman";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;0
1045;"Elliott";"Ashley";"2020-10-04";"2023-02-27";"Kelly Williams";"Full-Time";"Involuntary";"Admin Offices";"MA";"Foreman";"Female";"Black";"Single";"Fully Meets";3;1;1
1046;"Genesis";"Todd";"2022-04-23";"2022-08-03";"Jose Daniel";"Full-Time";"Involuntary";"Software Engineering";"MA";"Laborer";"Male";"White";"Single";"Fully Meets";3;1;1
1047;"Sincere";"Jimenez";"2021-11-27";"";"Vanessa Ramirez";"Contract";"Unk";"Software Engineering";"MA";"Technician";"Female";"Hispanic";"Single";"Fully Meets";3;1;0
